Type,Name
num,Total Household Income
vals,Region
num,Total Food Expenditure
vals,Main Source of Income
num,Agricultural Household indicator
num,Bread and Cereals Expenditure
num,Total Rice Expenditure
num,Meat Expenditure
num,Total Fish and  marine products Expenditure
num,Fruit Expenditure
num,Vegetables Expenditure
num,Restaurant and hotels Expenditure
num,Alcoholic Beverages Expenditure
num,Tobacco Expenditure
num,"Clothing, Footwear and Other Wear Expenditure"
num,Housing and water Expenditure
num,Imputed House Rental Value
num,Medical Care Expenditure
num,Transportation Expenditure
num,Communication Expenditure
num,Education Expenditure
num,Miscellaneous Goods and Services Expenditure
num,Special Occasions Expenditure
num,Crop Farming and Gardening expenses
num,Total Income from Entrepreneurial Acitivites
vals,Household Head Sex
num,Household Head Age
vals,Household Head Marital Status
vals,Household Head Highest Grade Completed
vals,Household Head Job or Business Indicator
vals,Household Head Occupation
vals,Household Head Class of Worker
vals,Type of Household
num,Total Number of Family members
num,Members with age less than 5 year old
num,Members with age 5 - 17 years old
num,Total number of family members employed
vals,Type of Building/House
vals,Type of Roof
vals,Type of Walls
num,House Floor Area
num,House Age
num,Number of bedrooms
vals,Tenure Status
vals,Toilet Facilities
num,Electricity
vals,Main Source of Water Supply
num,Number of Television
num,Number of CD/VCD/DVD
num,Number of Component/Stereo set
num,Number of Refrigerator/Freezer
num,Number of Washing Machine
num,Number of Airconditioner
num,"Number of Car, Jeep, Van"
num,Number of Landline/wireless telephones
num,Number of Cellular phone
num,Number of Personal Computer
num,Number of Stove with Oven/Gas Range
num,Number of Motorized Banca
num,Number of Motorcycle/Tricycle
